,Time,Speed Follower,Speed Leader,Smooth Speed Follower,Smooth Speed Leader,Spacing
0,448.0,69.79499999999999,70.3,69.9214,70.4128,22.540754823911204
1,448.02,69.71,70.33500000000001,69.9132,70.4062,22.551815902068213
2,448.04,69.71,70.37,69.90360000000001,70.40520000000001,22.562934662671903
3,448.06,69.71,70.435,69.89339999999999,70.411,22.563051010863465
4,448.08,69.72999999999999,70.5,69.8834,70.415,22.563051011119704
5,448.1,69.75,70.50999999999999,69.8746,70.415,22.568494043032963
6,448.12,69.82,70.52,69.869,70.4162,22.57399692315538
7,448.14,69.89,70.46000000000001,69.86880000000001,70.4158,22.574053424003612
8,448.16,69.925,70.4,69.87259999999999,70.4168,22.574111021083837
9,448.18,69.96,70.405,69.87599999999999,70.4218,22.585172185943545
10,448.2,69.925,70.41,69.8762,70.4276,22.596290949060705
11,448.22,69.89,70.435,69.8746,70.435,22.59634848980123
12,448.24,69.89,70.46,69.87259999999999,70.4384,22.596290948880352
13,448.26,69.89,70.41999999999999,69.8708,70.43520000000001,22.596290948804675
14,448.28,69.95,70.38,69.8716,70.4292,22.590789121823462
15,448.3,70.01,70.44,69.875,70.42439999999999,22.59073156710499
16,448.32,70.015,70.5,69.8788,70.4238,22.596290948177923
17,448.34,70.02,70.505,69.8808,70.4252,22.60740971236674
18,448.36,69.965,70.51,69.87859999999999,70.4274,22.61841679351703
19,448.38,69.91,70.44,69.87619999999998,70.42739999999999,22.618416793066167
20,448.4,69.93,70.37,69.8766,70.42439999999999,22.618472087652812
21,448.42,69.95,70.325,69.8788,70.41940000000001,22.61841679328108
22,448.44,69.91499999999999,70.28,69.8806,70.4148,22.61830948905741
23,448.46,69.88,70.31,69.8808,70.4136,22.618257478773987
24,448.48,69.91,70.34,69.882,70.4144,22.618309488183225
25,448.5,69.94,70.35,69.8878,70.41640000000001,22.629535612472914
26,448.52,69.88499999999999,70.36,69.89479999999999,70.4174,22.640766007613674
27,448.54,69.83,70.37,69.89959999999999,70.4174,22.640766007523673
28,448.56,69.805,70.38,69.9034,70.4152,22.635206624130085
29,448.58,69.78,70.4,69.9054,70.4112,22.629763246001247
30,448.6,69.795,70.42,69.9072,70.4076,22.629822890344343
31,448.62,69.81,70.45,69.9068,70.4048,22.63532260045421
32,448.64,69.795,70.48,69.903,70.40559999999999,22.64076600637829
33,448.66,69.78,70.47,69.8972,70.4084,22.651773254604194
34,448.68,69.75999999999999,70.46,69.8892,70.41059999999999,22.662784983253264
35,448.7,69.74,70.395,69.8818,70.41,22.662784982469365
36,448.72,69.845,70.33,69.88,70.4058,22.662837982793906
37,448.74,69.95,70.375,69.8824,70.4024,22.66283798305409
38,448.76,69.99000000000001,70.42,69.88640000000001,70.4024,22.66283798332789
39,448.78,70.03,70.42500000000001,69.8896,70.4042,22.662784982856852
40,448.8,70.055,70.43,69.89139999999999,70.4038,22.65722554513657
41,448.82,70.08,70.44,69.894,70.40140000000001,22.657332664769356
42,448.84,69.985,70.45,69.8926,70.39920000000001,22.668451487242113
43,448.86,69.89,70.46000000000001,69.8896,70.3972,22.685022733574225
44,448.88,69.85,70.47,69.8872,70.3984,22.696141610447064
45,448.9,69.81,70.465,69.8824,70.40220000000001,22.69624854604261
46,448.92,69.785,70.46,69.8758,70.4076,22.6961945324278
47,448.94,69.76,70.435,69.8696,70.4138,22.696039038126266
48,448.96,69.805,70.41,69.8666,70.4178,22.696039038056007
49,448.98,69.85,70.42,69.8642,70.42099999999999,22.70726048655666
50,449.0,69.86,70.43,69.861,70.4242,22.718379364295508
51,449.02,69.87,70.435,69.8604,70.4272,22.71832758356126
52,449.04,69.91499999999999,70.44,69.8638,70.43,22.7127174285762
53,449.06,69.96,70.38499999999999,69.87,70.4302,22.707059805469942
54,449.08,69.97999999999999,70.33,69.878,70.42739999999999,22.707059805052047
55,449.1,70.0,70.36,69.8862,70.425,22.70715796428026
56,449.12,69.97999999999999,70.39,69.893,70.4226,22.707260486372874
57,449.14,69.96,70.36,69.8996,70.4178,22.712819924591813
58,449.16,69.91,70.33,69.9048,70.4122,22.718276892048458
59,449.18,69.86,70.37,69.9088,70.4086,22.71827689197827
60,449.2,69.89,70.41,69.9148,70.4092,22.718327582533014
61,449.22,69.92,70.41499999999999,69.9178,70.4126,22.72939582001582
62,449.24,69.84,70.42,69.9134,70.4144,22.734857245714334
63,449.26,69.76,70.455,69.90419999999999,70.4158,22.7292503600109
64,449.28,69.795,70.49,69.89479999999999,70.4184,22.734857245232345
65,449.3,69.83,70.44,69.8858,70.4188,22.7405147488187
66,449.32,69.88,70.39,69.8778,70.41680000000001,22.734955284680105
67,449.34,69.93,70.39500000000001,69.8756,70.41460000000001,22.734857245404754
68,449.36,69.945,70.4,69.8778,70.4122,22.740369359215833
69,449.38,69.96,70.435,69.8822,70.4108,22.751535711555796
70,449.4,69.94999999999999,70.47,69.8878,70.411,22.762752608992862
71,449.42,69.94,70.42,69.89399999999999,70.40939999999999,22.76275260856917
72,449.44,69.935,70.37,69.901,70.4068,22.762654688695445
73,449.46,69.93,70.39,69.90599999999999,70.406,22.762654689009356
74,449.48,69.96000000000001,70.41,69.9104,70.4056,22.75719314303272
75,449.5,69.99,70.455,69.9156,70.4066,22.762803199835123
76,449.52,69.935,70.5,69.9182,70.4092,22.77387153859766
77,449.54,69.88,70.47999999999999,69.91680000000001,70.4108,22.779333156905036
78,449.56,69.88499999999999,70.46,69.9138,70.4138,22.784892645895233
79,449.58,69.89,70.46,69.91019999999999,70.41900000000001,22.77943100377107
80,449.6,69.89500000000001,70.46,69.90599999999999,70.42299999999999,22.773871537951212
81,449.62,69.9,70.43,69.9028,70.4246,22.779333155953733
82,449.64,69.94,70.4,69.902,70.4262,22.784845363992794
83,449.66,69.98,70.41,69.90480000000001,70.4294,22.79591819390192
84,449.68,69.95,70.42,69.9084,70.4314,22.80703721908567
85,449.7,69.92,70.505,69.9096,70.43520000000001,22.807130604708995
86,449.72,69.965,70.59,69.9114,70.4422,22.801571114369672
87,449.74,70.01,70.515,69.91820000000001,70.446,22.8015238672337
88,449.76,69.965,70.44,69.9264,70.4454,22.8071306041373
89,449.78,69.92,70.41,69.9314,70.4422,22.812787799028868
90,449.8,69.88499999999999,70.38,69.93360000000001,70.43979999999999,22.818347265312532
91,449.82,69.85,70.38,69.9324,70.4394,22.818249584503313
92,449.84,69.78999999999999,70.38,69.9268,70.43879999999999,22.812642870263655
93,449.86,69.73,70.43,69.9182,70.44,22.8126900945809
94,449.88,69.78,70.48,69.911,70.4418,22.81829788239944
95,449.9,69.83,70.5,69.90620000000001,70.443,22.818249584940876
96,449.92,69.88,70.52,69.9038,70.447,22.81820237237824
97,449.94,69.93,70.47999999999999,69.90360000000001,70.45139999999999,22.829368565162785
98,449.96,69.945,70.44,69.9042,70.4534,22.835025665361886
99,449.98,69.96,70.475,69.9042,70.45599999999999,22.82946619782134
100,450.0,69.94999999999999,70.51,69.9026,70.45819999999999,22.829466198458782
101,450.02,69.94,70.565,69.9028,70.4608,22.835076096130535
102,450.04,70.00999999999999,70.62,69.90799999999999,70.4664,22.84058513160106
103,450.06,70.08,70.58000000000001,69.9158,70.4712,22.840585131543936
104,450.08,70.035,70.54,69.9216,70.4744,22.84068705408978
105,450.1,69.99,70.46000000000001,69.9254,70.4744,22.840687054367404
106,450.12,70.055,70.38,69.9316,70.4724,22.840687053937746
107,450.14,70.12,70.4,69.9388,70.4724,22.85191214600236
108,450.16,70.14,70.42,69.9452,70.4728,22.851858500155068
109,450.18,70.16,70.485,69.9536,70.4754,22.84058513112106
110,450.2,70.065,70.55,69.9594,70.4772,22.851704065611937
111,450.22,69.97,70.53999999999999,69.9596,70.4752,22.86843282596384
112,450.24,69.995,70.53,69.959,70.47579999999999,22.862823000561438
113,450.26,70.02,70.545,69.9612,70.48,22.862773713981955
114,450.28,69.94,70.56,69.962,70.486,22.873941936417587
115,450.3,69.86,70.53,69.961,70.492,22.873992281129123
116,450.32,69.83,70.5,69.9602,70.49680000000001,22.885060871783658
117,450.34,69.8,70.50999999999999,69.9606,70.50200000000001,22.896179808770373
118,450.36,69.81,70.52,69.9638,70.5056,22.885162596081184
119,450.38,69.82,70.54499999999999,69.9654,70.5082,22.874043709265155
120,450.4,69.83,70.57,69.96539999999999,70.51100000000001,22.873941935292024
121,450.42,69.84,70.52,69.9638,70.51100000000001,22.885060871420606
122,450.44,69.82,70.47,69.9594,70.5106,22.896230104646627
123,450.46,69.8,70.535,69.9536,70.5144,22.901739276409
124,450.48,69.88,70.6,69.9504,70.5194,22.907298745216693
125,450.5,69.96,70.56,69.9508,70.5214,22.907349017294262
126,450.52,69.97,70.52,69.952,70.5196,22.90729874541846
127,450.54,69.98,70.5,69.9508,70.51480000000001,22.90729874498255
128,450.56,70.035,70.48,69.949,70.5108,22.907400369854706
129,450.58,70.09,70.535,69.9512,70.5106,22.918519258280583
130,450.6,70.1,70.59,69.9556,70.5158,22.9185192585563
131,450.62,70.11,70.57,69.95779999999999,70.5234,22.91306573790108
132,450.64,70.13,70.55,69.95819999999999,70.5294,22.918735376323447
