,Time,Speed Follower,Speed Leader,Smooth Speed Follower,Smooth Speed Leader,Spacing
0,600.0,85.25,85.96,85.316,86.1822,25.787026863239923
1,600.02,85.24,85.97999999999999,85.306,86.17460000000001,25.792245772311368
2,600.04,85.265,86.0,85.2966,86.1692,25.80301349828034
3,600.06,85.29,86.08,85.2904,86.1684,25.803341063761945
4,600.08,85.305,86.16,85.287,86.17199999999998,25.803999056114176
5,600.1,85.32,86.295,85.28620000000001,86.1822,25.821302981186527
6,600.12,85.335,86.43,85.288,86.19519999999999,25.832066728021584
7,600.14,85.35,86.355,85.2904,86.20259999999999,25.82618913184707
8,600.16,85.33,86.28,85.292,86.20379999999999,25.826850375920177
9,600.18,85.31,86.31,85.2916,86.20299999999999,25.83827706701032
10,600.2,85.30000000000001,86.34,85.28960000000001,86.20739999999999,25.849371729267506
11,600.22,85.29,86.285,85.28640000000001,86.2136,25.85458737552065
12,600.24,85.23,86.23,85.28,86.21699999999998,25.859804122981078
13,600.26,85.17,86.185,85.2712,86.21799999999999,25.865682216603673
14,600.28,85.16,86.14,85.262,86.21619999999999,25.870899115787623
15,600.3,85.15,86.205,85.25560000000002,86.21600000000001,25.881664690728062
16,600.32,85.195,86.27,85.2542,86.2172,25.887871956718104
17,600.34,85.24,86.27,85.25540000000001,86.2172,25.887871961356524
18,600.36,85.255,86.27,85.258,86.21640000000001,25.89308916509469
19,600.38,85.27,86.34,85.26119999999999,86.21759999999999,25.90484537637099
20,600.4,85.35499999999999,86.41,85.2678,86.2218,25.91072470668728
21,600.42,85.44,86.33500000000001,85.2756,86.22319999999999,25.9107247107504
22,600.44,85.32499999999999,86.26,85.2766,86.2244,25.92215211370511
23,600.46,85.21,86.17,85.27380000000001,86.2248,25.927366708472636
24,600.48,85.16999999999999,86.08,85.2702,86.2256,25.92703498992941
25,600.5,85.13,86.1,85.26540000000001,86.23119999999999,25.938461403352747
26,600.52,85.16999999999999,86.12,85.2626,86.2368,25.944341217560137
27,600.54,85.21,86.17,85.26039999999999,86.24359999999999,25.944341221826107
28,600.56,85.22,86.22,85.2576,86.2492,25.94988851192312
29,600.58,85.23,86.25999999999999,85.2546,86.25319999999999,25.955769073714844
30,600.6,85.12,86.3,85.2466,86.2534,25.96165044734698
31,600.62,85.01,86.405,85.23360000000001,86.25240000000002,25.97307972469763
32,600.64,85.015,86.51,85.2202,86.2586,25.98972103859291
33,600.66,85.02,86.48,85.20779999999999,86.2666,26.000480683170814
34,600.68,85.12,86.45,85.20020000000001,86.2722,26.006362405796352
35,600.7,85.22,86.33,85.197,86.2718,26.007034297246104
36,600.72,85.24000000000001,86.21,85.195,86.26880000000001,25.996616308033985
37,600.74,85.26,86.13,85.1962,86.2648,25.99661631260437
38,600.76,85.24000000000001,86.05,85.199,86.2594,26.007034310341513
39,600.78,85.22,86.1,85.20139999999999,86.2578,26.0125813015272
40,600.8,85.21000000000001,86.15,85.20379999999999,86.2556,26.01846551873442
41,600.82,85.2,86.23,85.204,86.25399999999999,26.029897403635797
42,600.84,85.22,86.31,85.2032,86.2556,26.04099114317365
43,600.86,85.24,86.33500000000001,85.2026,86.2582,26.0462002163207
44,600.88,85.255,86.36,85.20199999999998,86.25900000000001,26.051410383983804
45,600.9,85.27,86.35499999999999,85.1986,86.2568,26.056957418986283
46,600.92,85.29499999999999,86.35,85.19279999999999,86.2574,26.05729414131051
47,600.94,85.32,86.275,85.1926,86.25800000000001,26.052084922856174
48,600.96,85.26499999999999,86.2,85.1948,86.2592,26.05242360901941
49,600.98,85.21,86.215,85.1964,86.26460000000002,26.069064073697156
50,601.0,85.125,86.23,85.1962,86.26980000000002,26.08570458825437
51,601.02,85.04,86.21000000000001,85.191,86.2734,26.08604378663556
52,601.04,85.13,86.19,85.18779999999998,86.27420000000001,26.086043790782874
53,601.06,85.22,86.19999999999999,85.18780000000001,86.2734,26.097137351711034
54,601.08,85.245,86.21,85.1884,86.27140000000001,26.108230935141062
55,601.1,85.27,86.175,85.1944,86.26639999999999,26.113101013913795
56,601.12,85.235,86.14,85.2034,86.2558,26.11831108998031
57,601.14,85.2,86.21000000000001,85.2108,86.24380000000001,26.12453266836159
58,601.16,85.2,86.28,85.21799999999999,86.2358,26.130418177155583
59,601.18,85.2,86.28,85.22120000000001,86.22900000000001,26.141511826248433
60,601.2,85.21000000000001,86.28,85.2208,86.22699999999999,26.147398005803627
61,601.22,85.22,86.275,85.22,86.22959999999999,26.14773829732929
62,601.24,85.13499999999999,86.27,85.215,86.2352,26.153626150244744
