,Time,Speed Follower,Speed Leader,Smooth Speed Follower,Smooth Speed Leader,Spacing
0,4379.0,86.015,86.56,86.0174,86.4842,25.61145335821896
1,4379.02,86.09,86.53,86.02159999999999,86.4834,25.610033835257536
2,4379.04,86.105,86.5,86.02140000000001,86.48320000000001,25.615362776307627
3,4379.06,86.12,86.47,86.0224,86.48360000000001,25.61820235498835
4,4379.08,86.065,86.44,86.0218,86.48200000000001,25.61962351405859
5,4379.1,86.01,86.475,86.02100000000002,86.48100000000001,25.623530881537715
6,4379.12,86.045,86.51,86.0236,86.48140000000001,25.623530960222393
7,4379.14,86.08,86.57,86.0266,86.4842,25.623531039584957
8,4379.16,86.03999999999999,86.63,86.027,86.48819999999999,25.626021265652685
9,4379.18,86.0,86.58,86.0262,86.48899999999999,25.62069228470818
10,4379.2,86.02000000000001,86.53,86.02660000000002,86.4894,25.618202903703676
11,4379.22,86.04,86.545,86.03120000000001,86.492,25.630280312060535
12,4379.24,86.04,86.56,86.0392,86.49680000000001,25.639517130284236
13,4379.26,86.04,86.515,86.04540000000001,86.50139999999999,25.64200941991827
14,4379.28,86.055,86.47,86.0504,86.50219999999999,25.64200949833114
15,4379.3,86.07,86.46000000000001,86.05380000000001,86.50059999999999,25.639517366999478
16,4379.32,86.03,86.45,86.0534,86.49860000000001,25.64093734598147
17,4379.34,85.99,86.455,86.05,86.49680000000001,25.639517522432364
18,4379.36,86.03,86.46,86.0468,86.4972,25.639517600837827
19,4379.38,86.07,86.505,86.045,86.50139999999999,25.644846441806855
20,4379.4,86.08,86.55,86.0434,86.5068,25.644846520764677
21,4379.42,86.09,86.565,86.0438,86.51219999999999,25.64235852765544
22,4379.44,86.225,86.58,86.0512,86.517,25.638452504536822
23,4379.46,86.36,86.535,86.066,86.5188,25.642358686378014
24,4379.48,86.225,86.49,86.0774,86.5174,25.654086523728274
25,4379.5,86.09,86.5,86.08040000000001,86.515,25.652669356594647
26,4379.52,86.06,86.51,86.0792,86.51419999999999,25.65017585081475
27,4379.54,86.03,86.42,86.07619999999999,86.51099999999998,25.656923905678358
28,4379.56,86.065,86.33,86.074,86.5054,25.65834388891591
29,4379.58,86.1,86.395,86.0754,86.50359999999999,25.653015599336964
30,4379.6,86.1,86.46,86.079,86.50299999999999,25.65301567791368
31,4379.62,86.1,86.47999999999999,86.08120000000001,86.50179999999999,25.666514470323342
32,4379.64,86.03,86.5,86.07919999999999,86.499,25.678592276384773
33,4379.66,85.96,86.47999999999999,86.07599999999998,86.493,25.677170676878163
34,4379.68,85.955,86.46,86.07419999999998,86.48819999999999,25.678592433681136
35,4379.7,85.95,86.47,86.0714,86.4858,25.6881898496995
36,4379.72,85.97,86.48,86.06859999999999,86.48320000000001,25.68818992938424
37,4379.74,85.99,86.505,86.0666,86.48099999999998,25.682863017545795
38,4379.76,85.97999999999999,86.53,86.0642,86.4816,25.6814387628038
39,4379.78,85.97,86.495,86.0608,86.4826,25.68392070472099
40,4379.8,85.91499999999999,86.46,86.0546,86.4826,25.690670732331714
41,4379.82,85.86,86.475,86.04780000000001,86.48359999999998,25.693517413885004
42,4379.84,85.875,86.49,86.0432,86.485,25.696367634415118
43,4379.86,85.89,86.5,86.0376,86.4866,25.696367713372062
44,4379.88,85.965,86.51,86.0334,86.48679999999999,25.69104129419814
45,4379.9,86.04,86.5,86.0318,86.48479999999999,25.693895645459563
46,4379.92,85.975,86.49,86.0272,86.4818,25.70740426193404
47,4379.94,85.91,86.505,86.01460000000002,86.47879999999999,25.71415919538075
48,4379.96,85.91,86.52,85.9966,86.4782,25.707404419932022
49,4379.98,85.91,86.55,85.984,86.4806,25.707404501270936
50,4380.0,85.865,86.58,85.975,86.48379999999999,25.72091468062975
51,4380.02,85.82,86.565,85.96539999999999,86.486,25.72910179353396
52,4380.04,85.8,86.55,85.95620000000001,86.4912,25.73053415549278
53,4380.06,85.78,86.525,85.9448,86.49900000000001,25.737291433598234
54,4380.08,85.855,86.5,85.93499999999999,86.50319999999999,25.73872526391854
55,4380.1,85.93,86.465,85.9282,86.5034,25.733401607638307
56,4380.12,85.875,86.43,85.9192,86.50140000000002,25.726643707838118
57,4380.14,85.82,86.42,85.9108,86.4982,25.721319953739474
58,4380.16,85.88999999999999,86.41,85.90800000000002,86.4954,25.729513437257967
59,4380.18,85.96,86.42,85.9082,86.49380000000001,25.74303220791807
60,4380.2,85.905,86.43,85.90639999999999,86.4922,25.749792215034176
61,4380.22,85.85,86.44,85.9016,86.4906,25.751230156465063
62,4380.24,85.78999999999999,86.45,85.89359999999999,86.4884,25.760870668630687
63,4380.26,85.73,86.495,85.88359999999999,86.487,25.774396035421482
64,4380.28,85.84,86.54,85.8784,86.48880000000001,25.77827630744974
65,4380.3,85.95,86.55000000000001,85.87979999999999,86.4924,25.778276388635682
66,4380.32,85.905,86.56,85.88159999999999,86.4958,25.781159500092166
67,4380.34,85.86,86.53999999999999,85.881,86.49779999999998,25.789366604859925
68,4380.36,85.88,86.52,85.8806,86.49859999999998,25.792256157696343
69,4380.38,85.9,86.475,85.87799999999999,86.4972,25.788382713612233
70,4380.4,85.86,86.43,85.8708,86.4944,25.786936443307226
71,4380.42,85.82,86.42,85.86460000000001,86.4916,25.786936524804805
72,4380.44,85.85499999999999,86.41,85.8624,86.48780000000001,25.795149470126393
73,4380.46,85.89,86.41499999999999,85.8616,86.48360000000001,25.80868372455814
74,4380.48,85.8,86.42,85.85719999999999,86.47840000000001,25.808683807342053
75,4380.5,85.71,86.42,85.85099999999998,86.47200000000001,25.80336500395831
76,4380.52,85.69999999999999,86.42,85.84620000000001,86.46620000000001,25.806264503045078
77,4380.54,85.69,86.46000000000001,85.8418,86.46260000000001,25.818351693520682
78,4380.56,85.75,86.5,85.84060000000001,86.4616,25.83575707149196
79,4380.58,85.81,86.495,85.8388,86.4614,25.838660601562573
80,4380.6,85.775,86.49,85.83259999999999,86.4624,25.83334318358858
