,Time,Speed Follower,Speed Leader,Smooth Speed Follower,Smooth Speed Leader,Spacing
0,223.0,86.065,86.3,86.11540000000001,86.25219999999999,37.961568313181125
1,223.02,86.05,86.28999999999999,86.11779999999999,86.25219999999999,37.95045033743273
2,223.04,85.985,86.28,86.1164,86.25219999999999,37.94497393073116
3,223.06,85.92,86.25,86.1068,86.25139999999999,37.9451410492106
4,223.08,85.99000000000001,86.22,86.0944,86.25039999999998,37.94514104845108
5,223.1,86.06,86.2,86.085,86.24960000000002,37.95061612518842
6,223.12,86.11,86.18,86.07780000000001,86.25,37.944891348496256
7,223.14,86.16,86.22,86.074,86.25399999999999,37.93369142240652
8,223.16,86.13,86.26,86.07039999999999,86.2588,37.9282970046441
9,223.18,86.1,86.28999999999999,86.0658,86.264,37.92838027375228
10,223.2,86.07499999999999,86.32,86.06040000000002,86.2688,37.928380273701435
11,223.22,86.05,86.36,86.05539999999999,86.27359999999999,37.922905246595235
12,223.24,86.065,86.4,86.05239999999999,86.27779999999998,37.91751615061676
13,223.26,86.08,86.34,86.05099999999999,86.2774,37.91204314458779
14,223.28,86.13,86.28,86.0526,86.2752,37.90639830143713
15,223.3,86.18,86.28999999999999,86.0582,86.27400000000002,37.90648423283391
16,223.32,86.19,86.3,86.0662,86.273,37.906658055857896
17,223.34,86.2,86.275,86.0746,86.2708,37.89554028460806
18,223.36,86.23,86.25,86.0842,86.2704,37.884422513661285
19,223.38,86.26,86.22999999999999,86.09299999999999,86.272,37.878863628698724
20,223.4,86.325,86.21,86.1024,86.2728,37.87330474434262
21,223.42,86.39,86.26499999999999,86.1158,86.2758,37.878863628164645
22,223.44,86.24000000000001,86.32,86.12459999999999,86.2784,37.88998139737033
23,223.46,86.09,86.315,86.12619999999998,86.2782,37.88442251215981
24,223.48,86.045,86.31,86.1248,86.2782,37.87868967559754
25,223.5,86.0,86.39,86.12219999999999,86.2818,37.88963621024859
26,223.52,86.03999999999999,86.47,86.12180000000001,86.289,37.90622839270568
27,223.54,86.08,86.485,86.12559999999999,86.29719999999999,37.90631301781337
